# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Conversions
# DB Description,Ad Conversion Tracking
# Table,meta
# Table Description,meta
# Total Rows in DB,3
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,bd0c53f3d38d2d92dfea12527798225b

key,value
mmap_status,-1
version,70
last_compatible_version,70
