# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Web Data
# DB Description,"Autofill, Forms & Credit Cards"
# Table,meta
# Table Description,meta
# Total Rows in DB,6
# Export Timestamp,2026-04-02 09:56:08 UTC
# MD5 Hash of Source DB,18dd63a1b36a3f929c9a6e4e99a53362

key,value
mmap_status,-1
version,141
last_compatible_version,139
Builtin Keyword Version,187
Builtin Keyword Country,18766
Starter Pack Keyword Version,13
