# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\ServerCertificate
# DB Description,ServerCertificate
# Table,meta
# Table Description,meta
# Total Rows in DB,3
# Export Timestamp,2026-04-02 09:56:07 UTC
# MD5 Hash of Source DB,c36580cb88a6268715ad1c3213ee3e62

key,value
mmap_status,-1
version,1
last_compatible_version,1
