# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Favicons
# DB Description,Website Favicons
# Table,favicon_bitmaps
# Table Description,Favicon bitmap data
# Total Rows in DB,840
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,e3c84f207494d7fa0eb9a69bade06c04

id,icon_id,last_updated,image_data,width,height,last_requested,last_updated__HUMAN,last_updated__FORMAT,last_requested__HUMAN,last_requested__FORMAT
32,16,13399476138571844,<BLOB 114 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200802000000fc18ed...>,32,32,0,2025-08-12 12:42:18 UTC,WebKit (Chrome),,null
33,17,13399476153217271,<BLOB 552 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 12:42:33 UTC,WebKit (Chrome),,null
34,17,13399476153217370,<BLOB 1057 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 12:42:33 UTC,WebKit (Chrome),,null
35,18,13403105122415899,<BLOB 806 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-23 12:45:22 UTC,WebKit (Chrome),,null
36,18,13403105122416087,<BLOB 1012 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-23 12:45:22 UTC,WebKit (Chrome),,null
37,19,13399476786953642,<BLOB 1011 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 12:53:06 UTC,WebKit (Chrome),,null
38,19,13399476786953711,<BLOB 2901 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 12:53:06 UTC,WebKit (Chrome),,null
39,20,13403593102435470,<BLOB 496 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-29 04:18:22 UTC,WebKit (Chrome),,null
40,20,13403593102435496,<BLOB 1105 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-29 04:18:22 UTC,WebKit (Chrome),,null
41,21,13399485735488300,<BLOB 608 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 15:22:15 UTC,WebKit (Chrome),,null
42,21,13399485735488788,<BLOB 778 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 15:22:15 UTC,WebKit (Chrome),,null
43,22,13400989442020674,<BLOB 930 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-30 01:04:02 UTC,WebKit (Chrome),,null
44,22,13400989442020699,<BLOB 2609 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-30 01:04:02 UTC,WebKit (Chrome),,null
45,23,13402727278644607,<BLOB 738 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-19 03:47:58 UTC,WebKit (Chrome),,null
46,23,13402727278645103,<BLOB 1824 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-19 03:47:58 UTC,WebKit (Chrome),,null
47,24,13401108946997128,<BLOB 857 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-31 10:15:46 UTC,WebKit (Chrome),,null
48,24,13401108946997156,<BLOB 1706 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-31 10:15:46 UTC,WebKit (Chrome),,null
49,25,13399489681085703,<BLOB 229 bytes: 89504e470d0a1a0a0000000d4948445200000010000000100802000000909168...>,16,16,0,2025-08-12 16:28:01 UTC,WebKit (Chrome),,null
50,25,13399489681085789,<BLOB 296 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200802000000fc18ed...>,32,32,0,2025-08-12 16:28:01 UTC,WebKit (Chrome),,null
51,26,13399489729365038,<BLOB 316 bytes: 89504e470d0a1a0a0000000d4948445200000010000000100802000000909168...>,16,16,0,2025-08-12 16:28:49 UTC,WebKit (Chrome),,null
52,26,13399489729365135,<BLOB 601 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200802000000fc18ed...>,32,32,0,2025-08-12 16:28:49 UTC,WebKit (Chrome),,null
53,27,13400993043520071,<BLOB 670 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-30 02:04:03 UTC,WebKit (Chrome),,null
54,27,13400993043520115,<BLOB 1470 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-30 02:04:03 UTC,WebKit (Chrome),,null
55,28,13401002360203678,<BLOB 828 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-30 04:39:20 UTC,WebKit (Chrome),,null
56,28,13401002360203737,<BLOB 1604 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-30 04:39:20 UTC,WebKit (Chrome),,null
57,29,13403417132438294,<BLOB 776 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-27 03:25:32 UTC,WebKit (Chrome),,null
58,29,13403417132438387,<BLOB 2140 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-27 03:25:32 UTC,WebKit (Chrome),,null
59,30,13399494261130427,<BLOB 896 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 17:44:21 UTC,WebKit (Chrome),,null
60,30,13399494261130565,<BLOB 2316 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 17:44:21 UTC,WebKit (Chrome),,null
61,31,13401105042265644,<BLOB 984 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-31 09:10:42 UTC,WebKit (Chrome),,null
62,31,13401105042265700,<BLOB 1347 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-31 09:10:42 UTC,WebKit (Chrome),,null
63,32,13399500629449297,<BLOB 756 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 19:30:29 UTC,WebKit (Chrome),,null
64,32,13399500629449361,<BLOB 1549 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 19:30:29 UTC,WebKit (Chrome),,null
65,33,13399502855450483,<BLOB 581 bytes: 89504e470d0a1a0a0000000d4948445200000010000000100802000000909168...>,16,16,0,2025-08-12 20:07:35 UTC,WebKit (Chrome),,null
66,33,13399502855450507,<BLOB 1106 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200802000000fc18ed...>,32,32,0,2025-08-12 20:07:35 UTC,WebKit (Chrome),,null
67,34,13403520426006924,<BLOB 755 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-28 08:07:06 UTC,WebKit (Chrome),,null
68,34,13403520426007055,<BLOB 1301 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-28 08:07:06 UTC,WebKit (Chrome),,null
69,35,13399506385168601,<BLOB 654 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-12 21:06:25 UTC,WebKit (Chrome),,null
70,35,13399506385168694,<BLOB 599 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-12 21:06:25 UTC,WebKit (Chrome),,null
71,36,13400151360869810,<BLOB 680 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-20 08:16:00 UTC,WebKit (Chrome),,null
72,36,13400151360869994,<BLOB 1416 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-20 08:16:00 UTC,WebKit (Chrome),,null
