# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database
# DB Description,Credential Affiliations
# Table,psl_extensions
# Table Description,psl_extensions
# Total Rows in DB,607
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,98f842308ecd3f8294f4be9e56674791

domain,domain__DOMAIN,domain__CATEGORY
bundeling.com,bundeling.com,Other
bushub.co.uk,bushub.co.uk,Other
business.site,business.site,Other
bvscloud.com,bvscloud.com,Other
cafe24.com,cafe24.com,Other
campusapp.com,campusapp.com,Other
care.com,care.com,Other
careercentre.me,careercentre.me,Other
cascadecloud.co.uk,cascadecloud.co.uk,Other
centumlearnpro.in,centumlearnpro.in,Other
chainels.com,chainels.com,Other
chaininformation.com,chaininformation.com,Other
chatium.io,chatium.io,Other
chayns.net,chayns.net,Other
chmeetings.com,chmeetings.com,Other
churchcenter.com,churchcenter.com,Other
cinemataztic.com,cinemataztic.com,Other
citymaxxx.com,citymaxxx.com,Other
classpep.in,classpep.in,Other
clever.gy,clever.gy,Other
clubautomation.com,clubautomation.com,Other
clubconnect.nl,clubconnect.nl,Other
clubspeedtiming.com,clubspeedtiming.com,Other
clubware.co.nz,clubware.co.nz,Other
clutchtech.io,clutchtech.io,Other
co.vu,co.vu,Other
commentsold.com,commentsold.com,Other
communiapp.de,communiapp.de,Other
compotbox.com,compotbox.com,Other
connact.app,connact.app,Other
console.appfacile.it,console.appfacile.it,Other
content.pugpig.com,content.pugpig.com,Other
corporateperks.com,corporateperks.com,Other
crispnow.com,crispnow.com,Other
crm1.dynamics.com,crm1.dynamics.com,Other
crm10.dynamics.com,crm10.dynamics.com,Other
crm11.dynamics.com,crm11.dynamics.com,Other
crm2.dynamics.com,crm2.dynamics.com,Other
crm3.dynamics.com,crm3.dynamics.com,Other
crm4.dynamics.com,crm4.dynamics.com,Other
crm5.dynamics.com,crm5.dynamics.com,Other
crm6.dynamics.com,crm6.dynamics.com,Other
crm7.dynamics.com,crm7.dynamics.com,Other
crm8.dynamics.com,crm8.dynamics.com,Other
crm9.dynamics.com,crm9.dynamics.com,Other
csod.com,csod.com,Other
cuconnections.com,cuconnections.com,Other
customer.clutchtech.io,customer.clutchtech.io,Other
cybozu.com,cybozu.com,Other
deeep.link,deeep.link,Other
deeliv.app,deeliv.app,Other
deeplink.page,deeplink.page,Other
deeplinks.bfansports.com,deeplinks.bfansports.com,Other
deputy.com,deputy.com,Other
dev.welder.nl,dev.welder.nl,Other
develop.bdh.dev,develop.bdh.dev,Other
dialog.cm,dialog.cm,Other
dialognet.info,dialognet.info,Other
disciplemedia.com,disciplemedia.com,Other
disprz.com,disprz.com,Other
dn-cloud.com,dn-cloud.com,Other
dooray.com,dooray.com,Other
